Card#,Artist,Title,Album,URL
147,Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,San Francisco,spotify://track:6vcNJUWtUPB0hKC6VbZriY
148,KAMRAD,I Believe,I Believe (feat. Aka 7even),spotify://track:6Gz7e7gqh7ytnzZzgSA9AR
149,"Purple Disco Machine, Kungs, Julian Perretta",Substitution (feat. Julian Perretta),Substitution (feat. Julian Perretta),spotify://track:2F2p7b5Xq20mRyEeWYaeUF
150,Zara Larsson,Lush Life,So Good,spotify://track:1rIKgCH4H52lrvDcz50hS8
151,Ava Max,So Am I,Heaven & Hell,spotify://track:2Xnv3GntqbBH1juvUYSpHG
152,"Shakira, Alejandro Sanz",La Tortura (feat. Alejandro Sanz),"Fijación Oral, Vol. 1",spotify://track:53AafWSzYsiJKnAtJTUB5f
153,"Justin Timberlake, Timbaland",SexyBack (feat. Timbaland),FutureSex/LoveSounds,spotify://track:0O45fw2L5vsWpdsOdXwNAR
154,Harold Faltermeyer,Axel F,Harold F,spotify://track:2kgqupahrJpYB4r1poTXEY
155,Bryan Adams,Summer Of '69,Reckless (30th Anniversary / Deluxe Edition),spotify://track:0GONea6G2XdnHWjNZd6zt3
156,"P!nk, Willow Sage Hart",Cover Me In Sunshine,Cover Me In Sunshine,spotify://track:6Tio0ZoDeSQnI7EBAqWer2
157,Nelly,Hot In Herre,Nellyville,spotify://track:3hpUL1gDZWiz8k4DtYhZsS
158,La Bouche,Be My Lover,Best Of La Bouche feat. Melanie Thornton (feat. Melanie Thornton),spotify://track:3vSn1frPgFcRXrjWOfhMLl
159,Hot Chocolate,No Doubt About It,The Very Best of Hot Chocolate,spotify://track:1XcyciZOU2UcFgvSlFazeW
160,Nana Mouskouri,Guten Morgen Sonnenschein,Glück ist wie ein Schmetterling (Originale),spotify://track:4szBFK3aafxc6A7S4a8AWJ
161,De Electronica's,Dance Little Birdie,Dance Little Birdie,spotify://track:5WIWTRAfxVY5mvRw4cdb0c
162,Beagle Music,Like Ice in the Sunshine,Like Ice in the Sunshine,spotify://track:0UNzSO6Ahn3MQ8izYLwc5K
163,Dr. Alban,It's My Life,One Love,spotify://track:4TOGkYS141L15SkVosAp7Z
164,Bernhard Brink,Blondes Wunder,Direkt mehr,spotify://track:6Nrs5TM730JUEp44XKOWqu
165,Corona,The Rhythm of the Night,The Rhythm of the Night,spotify://track:0ofMkI3jzmGCElAOgOLeo3
166,Terry Jacks,Seasons in the Sun,Seasons In The Sun (Expanded Edition),spotify://track:7pGMRy91RcQT9oHdPgYz3A
167,"Mickie Krause, Willi Herren",Nur Noch Schuhe An!,Nur Noch Schuhe An!,spotify://track:1Dxn1CFF9Lu5gI49dlnQ2I
168,Bürger Lars Dietrich,Sexy Eis,Dicke Dinger,spotify://track:76UofYbCEIpOfu12Ls1kPt
169,Sonique,It Feels So Good,Hear My Cry,spotify://track:1zOzCQOw9THED5ixSVHiBc
170,"Felix Jaehn, Jasmine Thompson",Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),I,spotify://track:3c8iiZGfEammKJuWTErE5x
171,Tacabro,Tacata,Latin Hits Summer 2013,spotify://track:6EhPXpRYkwGwg8lx3XiGTI
